"Take Method",Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
"Any Weapon",1,3012,7968,37.8,55200,2113,899,49.3,19.2,96
Archery,1,95,703,13.6,4886,48,48,100,33.4,96.4
Muzzleloader,1,0,14,0,181,,,,,
"All Weapons Combined",1,3107,8153,38.1,60268,2160,947,50.8,19.5,96
"Any Weapon",2,1253,3962,31.6,26932,798,455,,16.3,100
Archery,2,100,475,21.2,2972,85,16,,36.3,100
Muzzleloader,2,3,22,15.2,125,3,,,0,100
"All Weapons Combined",2,1356,4163,32.6,30028,886,470,,18.2,100
"Any Weapon",3,1023,3856,26.5,22206,778,245,34.7,17.3,98.5
Archery,3,67,562,12,3090,52,16,,29.7,100
Muzzleloader,3,0,54,0,190,,,,,
"All Weapons Combined",3,1090,4096,26.6,25486,830,260,34.7,18.1,98.6
"Any Weapon",4,395,3469,11.4,19327,267,128,29.2,19.6,86.8
Archery,4,67,648,10.3,4436,66,1,0,9.9,83.8
Muzzleloader,4,84,583,14.5,2643,68,17,100,46.3,96
"All Weapons Combined",4,546,4054,13.5,26406,400,146,28.1,23.2,87.9
"Any Weapon",4A,104,529,19.7,3080,88,17,0,16.6,93.5
Archery,4A,3,92,3.1,465,3,,,0,100
Muzzleloader,4A,0,14,0,59,,,,,
"All Weapons Combined",4A,107,587,18.2,3604,90,17,0,16.1,93.7
"Any Weapon",5,1084,3235,33.5,20797,755,329,,34.3,100
Archery,5,30,220,13.7,1329,19,11,,17.2,100
Muzzleloader,5,2,12,13.9,25,,2,,,100
"All Weapons Combined",5,1116,3333,33.5,22152,774,341,,33.9,100
"Any Weapon",6,1053,3398,31,23753,735,318,33.8,20.1,90.9
Archery,6,23,226,10.1,1669,19,3,0,10.3,70.5
Muzzleloader,6,0,1,0,3,,,,,
"All Weapons Combined",6,1076,3491,30.8,25425,754,322,31.6,19.9,90.5
"Any Weapon",7,8,177,4.7,1000,8,,58.6,0,30.8
Archery,7,0,33,0,388,,,,,
Muzzleloader,7,11,46,23.2,180,11,,100,0,50
"All Weapons Combined",7,19,235,8.2,1568,19,,78.6,0,41.6
"Any Weapon",8,1004,2711,37,16853,790,214,48.9,28.6,95.5
Archery,8,15,138,11.1,857,12,3,,44.6,100
Muzzleloader,8,0,23,0,146,,,,,
"All Weapons Combined",8,1020,2755,37,17856,802,218,48.9,28.8,95.6
"Any Weapon",8A,1602,4908,32.6,33064,1148,453,34.6,21.9,98.8
Archery,8A,21,234,9.1,2029,19,3,,31.4,100
Muzzleloader,8A,41,235,17.5,967,7,34,,0,100
"All Weapons Combined",8A,1664,5061,32.9,36061,1174,491,34.6,21.9,98.8
"Any Weapon",9,3,44,7.1,218,3,,42.8,,0
Archery,9,0,7,0,29,,,,,
Muzzleloader,9,0,7,0,30,,,,,
"All Weapons Combined",9,3,57,5.4,277,3,,42.8,,0
"Any Weapon",10,110,528,20.8,2834,76,34,79.2,22.2,94
Archery,10,5,63,8.5,443,,5,,,0
Muzzleloader,10,0,1,0,7,,,,,
"All Weapons Combined",10,115,578,19.9,3284,76,39,79.2,22.2,89.6
"Any Weapon",10A,2171,5485,39.6,36086,1541,631,70.4,20,98.4
Archery,10A,29,336,8.6,3152,23,6,0,19.1,81.4
Muzzleloader,10A,22,139,15.8,486,3,19,,100,100
"All Weapons Combined",10A,2222,5664,39.2,39723,1567,656,59.6,20.2,98.2
"Any Weapon",11,737,1790,41.2,9608,568,170,,26.6,100
Archery,11,2,8,29.8,26,2,,,0,100
"All Weapons Combined",11,740,1798,41.2,9635,570,170,,26.5,100
"Any Weapon",11A,1104,2289,48.2,12171,849,255,100,19.7,99.8
Archery,11A,17,54,30.9,196,15,1,65.6,47.3,68.6
Muzzleloader,11A,0,3,0,16,,,,,
"All Weapons Combined",11A,1121,2323,48.2,12383,864,256,74.4,20.1,99.3
"Any Weapon",12,50,215,23.3,1105,33,17,,11.7,100
Archery,12,1,18,7,97,,1,,,100
"All Weapons Combined",12,51,231,22.2,1201,33,18,,11.7,100
"Any Weapon",13,180,540,33.3,3032,111,68,,23.7,100
Archery,13,0,5,0,12,,,,,
Muzzleloader,13,3,3,100,7,,3,,,100
"All Weapons Combined",13,183,541,33.8,3051,111,72,,23.7,100
"Any Weapon",14,702,1883,37.3,8477,458,244,51.5,18.2,97.4
Muzzleloader,14,0,8,0,44,,,,,
"All Weapons Combined",14,702,1884,37.3,8522,458,244,51.5,18.2,97.4
"Any Weapon",15,946,2288,41.3,11862,616,330,50,13.5,98.9
Archery,15,96,355,27.1,2442,50,46,,22.3,98.6
Muzzleloader,15,0,11,0,26,,,,,
"All Weapons Combined",15,1042,2567,40.6,14331,666,376,50,14.2,98.8
"Any Weapon",16,474,950,49.9,4178,361,113,0,11.3,99.4
Archery,16,2,3,55.2,16,,2,,,100
Muzzleloader,16,56,120,46.7,494,37,19,,13.2,100
"All Weapons Combined",16,532,1017,52.3,4689,398,134,0,11.5,99.5
"Any Weapon",16A,24,156,15.2,738,12,11,100,27.8,74.6
Archery,16A,0,7,0,7,,,,,
Muzzleloader,16A,0,1,0,4,,,,,
"All Weapons Combined",16A,24,162,14.6,749,12,11,100,27.8,74.6
"Any Weapon",17,181,528,34.3,3159,162,20,78.1,45.6,49
Archery,17,1,1,100,14,,1,,,100
Muzzleloader,17,0,3,0,16,,,,,
"All Weapons Combined",17,183,531,34.4,3190,162,21,78.1,45.6,49.4
"Any Weapon",18,312,896,34.8,3516,223,89,,21.3,100
Archery,18,3,3,100,3,3,,,0,100
Muzzleloader,18,0,3,0,3,,,,,
"All Weapons Combined",18,315,899,35.1,3523,226,89,,21,100
"Any Weapon",19,157,532,29.6,2897,121,36,77.6,35.7,23.6
Archery,19,0,11,0,42,,,,,
"All Weapons Combined",19,157,538,29.3,2939,121,36,77.6,35.7,23.6
"Any Weapon",19A,96,468,20.6,2375,84,13,60.3,0,13.6
Archery,19A,7,91,7.4,570,,7,,,0
"All Weapons Combined",19A,103,546,18.9,2944,84,20,60.3,0,12.7
"Any Weapon",20,93,317,29.4,1816,74,20,78.4,35.2,27.2
"All Weapons Combined",20,93,317,29.4,1816,74,20,78.4,35.2,27.2
"Any Weapon",20A,47,183,25.8,1012,46,1,70.6,52.9,32.4
Archery,20A,0,1,0,17,,,,,
"All Weapons Combined",20A,47,184,25.6,1029,46,1,70.6,52.9,32.4
"Any Weapon",21,310,831,37.3,3865,308,3,47.1,12.4,4.6
Archery,21,21,112,18.7,876,11,10,74.7,0,37.9
Muzzleloader,21,0,2,0,8,,,,,
"All Weapons Combined",21,331,926,35.8,4749,318,13,47.6,8.7,6.7
"Any Weapon",21A,286,789,36.3,3953,270,16,57.2,22.5,23.4
Archery,21A,11,80,13.6,683,4,7,0,100,26.5
Muzzleloader,21A,0,13,0,70,,,,,
"All Weapons Combined",21A,297,866,34.3,4707,274,23,56.5,24.3,23.5
"Any Weapon",22,294,1702,17.3,6669,183,111,3.8,0,8.4
Archery,22,56,398,14.1,2677,16,40,0,,0
"All Weapons Combined",22,350,1959,17.9,9346,199,151,3.5,0,7
"Any Weapon",23,376,1695,22.2,8668,293,83,39.8,17.7,54.6
Archery,23,85,414,20.4,3541,38,47,41,0,10.3
Muzzleloader,23,0,5,0,16,,,,,
"All Weapons Combined",23,461,2042,22.6,12225,330,130,40.1,17.3,46.5
"Any Weapon",24,166,1627,10.2,8139,145,22,22,22.5,33.4
Archery,24,110,486,22.7,3494,76,34,45.8,0,4.9
Muzzleloader,24,7,21,31.6,95,7,,,0,100
"All Weapons Combined",24,283,2012,14.1,11727,228,56,31.9,17.7,23.9
"Any Weapon",25,97,681,14.3,3320,86,12,71.9,,1.3
Archery,25,62,314,19.6,2118,39,22,17.1,,0
"All Weapons Combined",25,159,928,17.1,5438,125,34,54.7,,0.8
"Any Weapon",26,47,177,26.5,984,47,,59.5,0,6.7
Archery,26,0,12,0,64,,,,,
"All Weapons Combined",26,47,183,25.6,1047,47,,59.5,0,6.7
"Any Weapon",27,279,953,29.3,5101,274,5,49.6,100,1.7
Archery,27,0,7,0,40,,,,,
"All Weapons Combined",27,279,954,29.2,5141,274,5,49.6,100,1.7
"Any Weapon",28,484,1479,32.7,7152,456,28,37.5,29,8.7
Archery,28,87,320,27.4,1265,47,40,18.9,0,10.1
Muzzleloader,28,1,9,14.3,68,,1,,,100
"All Weapons Combined",28,573,1757,32.6,8485,502,70,35.9,24.8,9.1
"Any Weapon",29,294,934,31.5,3922,266,28,22.2,16.4,32.5
Archery,29,67,185,36.4,1343,35,32,36.2,0,4
Muzzleloader,29,7,28,25.4,77,7,,,46.4,100
"All Weapons Combined",29,369,1118,33,5341,309,60,24.3,18.6,28.6
"Any Weapon",30,382,1026,37.3,4218,335,48,28.6,25.6,36.7
Archery,30,29,140,21,1009,5,24,0,100,8.7
Muzzleloader,30,18,39,46.4,152,14,5,,24.1,100
"All Weapons Combined",30,430,1156,37.2,5380,354,76,28.1,26.2,37.5
"Any Weapon",30A,14,63,21.5,211,11,2,14,0,30.7
Archery,30A,4,66,6.1,533,1,3,0,,0
