"Take Method",Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
"Any Weapon",1,3596,7483,48,50883,2572,1024,32.8,19.3,95.3
Archery,1,72,587,12,4187,55,17,27.5,30.2,82.4
Muzzleloader,1,4,11,36,23,4,,,0,100
"All Weapons Combined",1,3671,7672,48,55093,2630,1041,32.4,19.5,95.1
"Any Weapon",2,1353,3598,38,25588,882,470,0,18.1,99.9
Archery,2,78,418,19,2662,54,24,,19.6,100
Muzzleloader,2,0,21,0,110,,,,,
"All Weapons Combined",2,1431,3779,38,28360,937,494,0,18.2,99.9
"Any Weapon",3,1175,3578,33,22014,854,321,31,19.7,98.4
Archery,3,78,505,15,2754,66,12,,21.6,100
Muzzleloader,3,1,38,3,122,1,,,0,100
"All Weapons Combined",3,1254,3786,33,24891,922,333,31,19.8,98.5
"Any Weapon",4,489,2728,18,16624,306,183,4,6.7,85.9
Archery,4,28,537,5,3783,27,1,50,31.4,59.3
Muzzleloader,4,62,484,13,2130,56,7,100,2.7,90.8
"All Weapons Combined",4,579,3234,18,22537,388,191,17.4,7.3,85.2
"Any Weapon",4A,173,597,29,3484,146,27,100,16.2,98.9
Archery,4A,5,70,7,559,4,1,,0,100
Muzzleloader,4A,0,8,0,39,,,,,
"All Weapons Combined",4A,178,654,27,4082,149,29,100,15.9,99
"Any Weapon",5,1278,3108,41,21452,912,366,0,27.4,99.1
Archery,5,25,214,12,1442,22,2,,16,100
Muzzleloader,5,0,21,0,82,,,,,
"All Weapons Combined",5,1302,3182,41,22976,934,368,0,27.2,99.1
"Any Weapon",6,1306,3392,39,23224,856,450,28,22.7,93.7
Archery,6,18,288,6,2338,13,5,,55,100
Muzzleloader,6,0,7,0,15,,,,,
"All Weapons Combined",6,1324,3519,38,25577,869,456,28,23.3,93.7
"Any Weapon",7,33,315,10,1858,18,15,88.2,65.3,67.6
Archery,7,0,52,0,540,,,,,
Muzzleloader,7,7,60,12,288,1,6,,0,100
"All Weapons Combined",7,40,393,10,2686,19,21,88.2,55.6,73.2
"Any Weapon",8,1298,2663,49,18209,983,315,45.7,29.2,96.2
Archery,8,17,158,11,1185,8,9,,42.6,100
Muzzleloader,8,0,10,0,79,,,,,
"All Weapons Combined",8,1315,2723,48,19473,992,323,45.7,29.3,96.2
"Any Weapon",8A,2005,4880,41,34715,1364,641,42.8,24.2,98.9
Archery,8A,15,242,6,1909,15,,,44,100
Muzzleloader,8A,47,190,25,757,4,43,,0,100
